Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
69.14009499549866	14	-0.54183394	0.12246959	-0.27739576	-0.96951175	21.0	0.0	-0.025801618	-0.025801618	-0.018076632	-0.018076632	-0.6566713	0.28026408	0.2839458	0.2236949	0.68506587	1008	15120
72.96586418151855	15	-0.5723686	0.1588695	-0.30722737	-0.99558556	21.0	0.0	-0.027255649	-0.027255649	-0.021155871	-0.021155871	-0.66023153	0.1853202	0.20061608	0.17569652	0.6802932	1008	16128
76.76669788360596	16	-0.5867649	0.12662525	-0.27508605	-1.0115062	21.0	0.0	-0.027941186	-0.027941186	-0.022192284	-0.022192284	-0.63475746	0.22191711	0.2379399	0.21361414	0.65855145	1008	17136
80.54459357261658	17	-0.57297695	0.14528434	-0.2752319	-0.9276383	21.0	0.0	-0.027284617	-0.027284617	-0.025152838	-0.025152838	-0.6879545	0.13737053	0.1014201	0.08687389	0.6980965	1008	18144
84.38632106781006	18	-0.65587264	0.14207561	-0.36887512	-1.1672715	21.0	0.0	-0.031232031	-0.031232031	-0.024717646	-0.024717646	-0.6607677	0.21352118	0.24092323	0.16628927	0.68485993	1008	19152
88.25098514556885	19	-0.62678593	0.12225965	-0.41328114	-0.96715987	21.0	0.0	-0.029846948	-0.029846948	-0.023223968	-0.023223968	-0.6690811	0.24398513	0.2104605	0.17470306	0.69012713	1008	20160
92.05580949783325	20	-0.628385	0.12770037	-0.33412927	-0.8565433	21.0	0.0	-0.029923094	-0.029923094	-0.027234612	-0.027234612	-0.6776546	0.17994559	0.1614592	0.14076841	0.6938005	1008	21168
95.94939613342285	21	-0.6691806	0.13102265	-0.4536232	-0.98316747	21.0	0.0	-0.031865742	-0.031865742	-0.026500229	-0.026500229	-0.68015456	0.20249777	0.17854556	0.173795	0.69800913	1008	22176
99.78813099861145	22	-0.61133164	0.14238109	-0.38072684	-1.0190897	21.0	0.0	-0.02911103	-0.02911103	-0.022694614	-0.022694614	-0.6848804	0.23127702	0.20080477	0.18342483	0.7049608	1008	23184
103.86123824119568	23	-0.6026583	0.118658885	-0.35595417	-0.8854249	21.0	0.0	-0.02869801	-0.02869801	-0.01877777	-0.01877777	-0.6488297	0.25281703	0.2946951	0.34209687	0.6782992	1008	24192
107.87351036071777	24	-0.5897853	0.13268049	-0.26722196	-0.9635204	21.0	0.0	-0.02808501	-0.02808501	-0.022071782	-0.022071782	-0.66264385	0.23424412	0.22427098	0.22641039	0.68507093	1008	25200
112.03537702560425	25	-0.60439736	0.1473919	-0.3332105	-0.95296305	21.0	0.0	-0.028780825	-0.028780825	-0.01855907	-0.01855907	-0.6718981	0.30179542	0.35044378	0.2499732	0.70694256	1008	26208
116.58620691299438	26	-0.5803177	0.12625745	-0.36194333	-0.95361406	21.0	0.0	-0.027634174	-0.027634174	-0.0078104413	-0.0078104413	-0.58440506	0.3901681	0.47534668	0.30242664	0.63193977	1008	27216
120.90166711807251	27	1.2781912	10.294798	69.068756	-0.8784723	21.0	0.0	0.060866255	0.060866255	0.08516369	0.08516369	-0.6642288	0.46005738	0.51691294	0.3235441	0.7159201	1008	28224
124.99970579147339	28	4.1741757	15.498667	69.22757	-0.86611694	21.0	0.0	0.19877025	0.19877025	0.24282806	0.24282806	-0.525542	0.55326074	0.85497653	0.3568306	0.6110397	1008	29232
129.22041773796082	29	7.517237	17.326977	59.13079	-0.72630167	21.0	0.0	0.35796368	0.35796368	0.39472798	0.39472798	-0.5310956	0.51295143	0.96445775	0.41277537	0.6275415	1008	30240
133.56579732894897	30	11.253705	19.5968	79.152176	-0.83204377	21.0	0.0	0.53589076	0.53589076	0.5922971	0.5922971	-0.39892107	0.44561028	1.3523027	0.52742183	0.5341513	1008	31248
